Brand,Processor,Operating_System,Storage,RAM,Touch_Screen,Price
HP,Core i3,Windows 11 Home,512,8,0,38990
HP,Core i3,Windows 11 Home,512,8,0,37990
Apple,M1,Mac OS Big Sur,256,8,0,70990
Apple,M1,Mac OS Big Sur,256,8,0,70990
Apple,M1,Mac OS Big Sur,256,8,0,70990
Lenovo,Core i7,Windows 11 Home,512,16,0,49990
HP,Core i5,Windows 11 Home,512,8,0,46990
ASUS,Core i3,Windows 11 Home,256,8,0,27990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,8,0,45990
HP,Core i5,Windows 11 Home,512,16,0,53990
HP,Core i5,Windows 11 Home,1000,16,0,66999
DELL,Core i5,Windows 11 Home,512,8,0,45999
ASUS,Core i5,Windows 11 Home,2000,8,0,47990
ASUS,Celeron Dual Core,Windows 11 Home,256,4,0,19990
HP,Core i5,Windows 11 Home,512,8,0,49990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,77990
Acer,Ryzen 5 Quad Core,Windows 11 Home,512,8,0,29990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,54990
HP,Core i5,Windows 11 Home,512,16,0,66990
DELL,Core i3,Windows 11 Home,512,8,0,35980
SAMSUNG,Core i5,Windows 11 Home,512,16,0,47990
ASUS,Core i3,Windows 11 Home,512,8,0,39990
HP,Core i3,Windows 11 Home,512,8,0,38990
HP,Core i3,Windows 11 Home,512,8,0,37990
DELL,Core i3,Windows 11 Home,512,8,0,36480
Lenovo,Core i3,Windows 11 Home,512,8,0,35990
HP,Core i5,Windows 11 Home,512,8,0,46990
HP,Core i5,Windows 11 Home,512,16,0,53990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,8,0,38990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,88407
MSI,Ryzen 5 Hexa Core,Windows 11 Home,512,8,0,33990
HP,Core i5,Windows 11 Home,1000,16,0,66999
HP,Core i5,Windows 11 Home,512,8,0,49990
ASUS,Core i3,Windows 11 Home,2000,16,0,33990
MSI,Core i5,Windows 11 Home,512,16,0,52990
ASUS,Ryzen 7 Octa Core,Windows 11 Home,512,16,0,77990
HP,Ryzen 5 Hexa Core,Windows 11 Home,512,16,0,54990
DELL,Core i3,Windows 11 Home,512,8,0,35980
MSI,Ryzen 7 Octa Core,Windows 11 Home,2000,16,0,54990
MSI,Core i3,Windows 11 Home,512,8,0,28990
ASUS,Core i3,Windows 11 Home,512,8,0,36990
HP,Core i5,Windows 11 Home,512,16,0,66990
HP,Core i5,Windows 11 Home,512,8,0,53990
Infinix,Core i3,Windows 11 Home,512,8,0,27990
MSI,Core i7,Windows 11 Home,4000,16,0,66780
HP,Core i3,Windows 11 Home,512,8,0,38990
HP,Core i3,Windows 11 Home,512,8,0,37990
HP,Ryzen 3 Dual Core,DOS,512,8,1,30500
Ultimus,Celeron Dual Core,Windows 11 Home,128,4,0,11990
Acer,Core i5,Windows 11 Home,512,16,0,57990
HP,Core i5,Windows 11 Home,512,8,0,46990
HP,Core i5,Windows 11 Home,512,16,0,53990
Acer,Core i7,Windows 11 Home,1000,16,0,89990
ASUS,Core i3,Windows 11 Home,1000,8,0,36990
HP,Core i5,Windows 11 Home,1000,16,0,66999
HP,Core i5,Windows 11 Home,512,8,0,49990
ASUS,Core i3,Windows 11 Home,2000,8,0,43534
CHUWI,Celeron Dual Core,Windows 11 Home,256,8,0,18990
